object_id,color_1,closest_1,color_2,closest_2,color_3,closest_3,color_4,closest_4,color_5,closest_5,palette,url
18569209,#a78387,#bc8f8f,#a95b4e,#a0522d,#bfa4ad,#a9a9a9,#d2edec,#dcdcdc,#cb9f92,#bc8f8f,css3,http://images.collection.cooperhewitt.org/15974_136b79418056f557_z.jpg
18569209,#b6777b,#bc8f8f,#a24644,#a0522d,#706f7c,#696969,#b89ca6,#a9a9a9,#c06054,#cd5c5c,css3,http://images.collection.cooperhewitt.org/15975_3efc4f44d020513f_z.jpg
18569211,#c29993,#bc8f8f,#e1d8e8,#dcdcdc,#b4b4c3,#c0c0c0,#debcc6,#d8bfd8,#b77c83,#bc8f8f,css3,http://images.collection.cooperhewitt.org/15976_6578230dda8455ad_z.jpg
18569211,#cdcedd,#d3d3d3,#b6989b,#bc8f8f,#cc8579,#bc8f8f,#9a695e,#808080,#dbbeba,#c0c0c0,css3,http://images.collection.cooperhewitt.org/15977_e501d23cfe03163f_z.jpg
18569211,#ddd8e5,#dcdcdc,#c7978d,#bc8f8f,#bea6b8,#a9a9a9,#9e645e,#cd5c5c,#e2c7c6,#d8bfd8,css3,http://images.collection.cooperhewitt.org/15978_f5ce259b31262618_z.jpg
18569211,#c6a49e,#d2b48c,#bcb8c5,#c0c0c0,#c7766a,#cd5c5c,#d5cfc5,#d3d3d3,#b44848,#a0522d,css3,http://images.collection.cooperhewitt.org/15979_a2b7dc507c2fc02c_z.jpg
18569211,#d4d1c5,#d3d3d3,#b68187,#bc8f8f,#beadb2,#a9a9a9,#b67e69,#bc8f8f,#a4524b,#a0522d,css3,http://images.collection.cooperhewitt.org/15980_dbaaf274b2990915_z.jpg
18569213,#4b3a4e,#2f4f4f,#c2bbd7,#b0c4de,#998aa8,#a9a9a9,#282a35,#2f4f4f,#734956,#696969,css3,http://images.collection.cooperhewitt.org/15981_b8fc1078129c0174_z.jpg
18569213,#d2dcf5,#e6e6fa,#321a20,#000000,#5f4550,#696969,#433759,#2f4f4f,#6d5a77,#696969,css3,http://images.collection.cooperhewitt.org/15982_e5bcfe7308ff93db_z.jpg
18569213,#c6bacd,#c0c0c0,#432b2c,#2f4f4f,#826c77,#808080,#5b4a63,#696969,#6d5450,#696969,css3,http://images.collection.cooperhewitt.org/15986_fd6e67959f4efe7e_z.jpg
18569213,#b9c0d5,#b0c4de,#482f32,#2f4f4f,#4c3d54,#2f4f4f,#86788b,#808080,#340c1c,#000000,css3,http://images.collection.cooperhewitt.org/15987_5143ba0b159f0ade_z.jpg
18569213,#553845,#2f4f4f,#ccddef,#dcdcdc,#a599b8,#a9a9a9,#82718c,#808080,#605167,#696969,css3,http://images.collection.cooperhewitt.org/15988_3abafe390c9b052f_z.jpg
18569213,#aba5b9,#a9a9a9,#261421,#000000,#88838b,#808080,#44385b,#2f4f4f,#c5cddc,#d3d3d3,css3,http://images.collection.cooperhewitt.org/15989_09e6daa2639554a9_z.jpg
18325277,#454150,#2f4f4f,#7e7890,#708090,#2d212b,#2f4f4f,#0c0b20,#000000,#a3acc7,#a9a9a9,css3,http://images.collection.cooperhewitt.org/15993_dcd7a9f662bf4dcd_z.jpg
18325277,#563421,#556b2f,#836250,#696969,#a49ea7,#a9a9a9,#433e47,#2f4f4f,#716e78,#696969,css3,http://images.collection.cooperhewitt.org/15996_e96afea602983395_z.jpg
18226011,#7b705b,#696969,#58533b,#556b2f,#302e28,#2f4f4f,#457084,#696969,#422313,#800000,css3,http://images.collection.cooperhewitt.org/15997_1a6d469c2128ca18_z.jpg
18226017,#646252,#696969,#4e4035,#2f4f4f,,,,,,,css3,http://images.collection.cooperhewitt.org/15998_e8ba3dfb46637cfe_z.jpg
18325293,#8a91af,#778899,#393740,#2f4f4f,#bfc1db,#b0c4de,#5b5f73,#696969,#795c5e,#696969,css3,http://images.collection.cooperhewitt.org/15999_ae4b5330b05dc5a3_z.jpg
18325291,#302736,#2f4f4f,#5d606e,#696969,#5b4c50,#696969,#909dbd,#a9a9a9,#fde7fc,#fff0f5,css3,http://images.collection.cooperhewitt.org/16000_0c43dee8b77f0819_z.jpg
18309239,#7d7a6d,#808080,#aaa689,#bc8f8f,#4a4147,#2f4f4f,#8f9993,#778899,#292531,#2f4f4f,css3,http://images.collection.cooperhewitt.org/16001_300ff249ffc0033c_z.jpg
18325277,#160e1e,#000000,#c0bfd6,#b0c4de,#625b6c,#696969,#998ea4,#a9a9a9,#413749,#2f4f4f,css3,http://images.collection.cooperhewitt.org/16002_053c3468645a75bc_z.jpg
18325291,#6d85a9,#778899,#a6a9c3,#a9a9a9,#3f3b40,#2f4f4f,#626673,#696969,#625557,#696969,css3,http://images.collection.cooperhewitt.org/16003_1dbad888bdca125a_z.jpg
18678221,#907c6a,#808080,#7b5f45,#696969,#b1a090,#bc8f8f,#59412c,#556b2f,,,css3,http://images.collection.cooperhewitt.org/16022_330442d8ab813cd6_z.jpg
18696783,#c7caae,#c0c0c0,#92956f,#808080,#1b2b25,#2f4f4f,#837e3f,#6b8e23,#5d5b46,#556b2f,css3,http://images.collection.cooperhewitt.org/16030_b5d004b0dad8f49e_z.jpg
18132965,#b2ac93,#a9a9a9,#8f8161,#808080,#716037,#556b2f,#502e12,#8b4513,,,css3,http://images.collection.cooperhewitt.org/16032_08c3a06a06e9ac62_z.jpg
18133841,#c7bfb0,#c0c0c0,#7f5e39,#a0522d,#533314,#8b4513,#a79a88,#bc8f8f,#261f14,#000000,css3,http://images.collection.cooperhewitt.org/16033_3b466a3e50fa672d_z.jpg
18130215,#95774d,#a0522d,#c6c1b1,#c0c0c0,#7d5c32,#a0522d,#533a29,#556b2f,#22100c,#000000,css3,http://images.collection.cooperhewitt.org/16034_90955cbce84dae7f_z.jpg
18130257,#ad9a71,#bdb76b,#856f40,#a0522d,#674c1f,#8b4513,#27281f,#2f4f4f,#452b0b,#800000,css3,http://images.collection.cooperhewitt.org/16035_da49cc97b685593e_z.jpg
18643901,#404345,#2f4f4f,#4e5ba2,#483d8b,#7e7c8b,#808080,,,,,css3,http://images.collection.cooperhewitt.org/16038_8c3cb339b10390e1_z.jpg
18643901,#4f5057,#2f4f4f,#3c4688,#483d8b,#716e7e,#696969,#d1d0c6,#d3d3d3,#343633,#2f4f4f,css3,http://images.collection.cooperhewitt.org/16039_43e61d7fae1cfb13_z.jpg
18643939,#1f1907,#000000,#a8a09d,#a9a9a9,#4e483a,#556b2f,#726c61,#696969,,,css3,http://images.collection.cooperhewitt.org/16040_e9fb6f6b2961dafa_z.jpg
18643947,#ab9d97,#a9a9a9,#cec2be,#c0c0c0,#514541,#2f4f4f,#7b6e6a,#696969,#9c846d,#808080,css3,http://images.collection.cooperhewitt.org/16041_c6d9816bf3743f3d_z.jpg
18643955,#343439,#2f4f4f,#52515b,#696969,#a4a1aa,#a9a9a9,#84818c,#808080,,,css3,http://images.collection.cooperhewitt.org/16042_d66a105d5e5f72a5_z.jpg
18648793,#a0917b,#bc8f8f,#6a5f52,#696969,,,,,,,css3,http://images.collection.cooperhewitt.org/16044_f7d89390983d25dc_z.jpg
18648891,#aba7a0,#a9a9a9,#758087,#708090,#535b62,#696969,#909da6,#a9a9a9,#705854,#696969,css3,http://images.collection.cooperhewitt.org/16047_82c2e7b52348b921_z.jpg
