person_id,person_name,id,name,count_objects
18050121,Lenore Asbury,35236717,Decorator,1
18050129,"Curvware, Inc.",35236657,Manufacturer,3
18050137,Alessi,35236657,Manufacturer,3
18050137,Alessi,35236667,Client,1
18050147,John Oster Manufacturing Company,35236657,Manufacturer,1
18050151,Paul Lobel,35236685,Maker,3
18050163,Bruce Hannah,35236655,Designer,11
18050173,Laurens et Cie a Villefrance,35236671,Producer,1
18050183,Hoover,35236667,Client,1
18050185,Seidel & Naumann,35236657,Manufacturer,1
18050187,George T. Scharfenberg,35236655,Designer,1
18050191,Hans Gugelot,35236655,Designer,3
18050191,Hans Gugelot,35236733,Co-Designer,1
18050193,Gerd Alfred Muller,35236733,Co-Designer,2
18050193,Gerd Alfred Muller,35236655,Designer,2
18050195,Peter Bemis,35236655,Designer,1
18050225,Johann Backhausen & Sohne,35236671,Producer,1
18050225,Johann Backhausen & Sohne,35236657,Manufacturer,1
18050231,Mathilde Flogl,35236655,Designer,53
18050237,Kimbel & Cabus,35236657,Manufacturer,2
18050239,Ursula Fesca,35236655,Designer,9
18050245,Bunzlau,35236657,Manufacturer,3
18050247,,35236657,Manufacturer,3
18050257,Max Roesler Factory,35236657,Manufacturer,6
18050259,Margarete H. L. Marks,35236655,Designer,5
18050265,Scheibs,35236657,Manufacturer,3
18050267,Mrs. Robert Woods Bliss,35236657,Manufacturer,1
18050299,Marc Magnier,35236655,Designer,1
18050319,Wetter Freres,35236685,Maker,1
18050319,Wetter Freres,35236681,Company,1
18050337,Lucas van Leyden,35236655,Designer,1
18050337,Lucas van Leyden,35236565,Artist,1
18050377,Natalie Krebs,35236685,Maker,1
18050379,Wendell Castle,35236655,Designer,2
18050379,Wendell Castle,35236685,Maker,1
18050387,Luca Giordano,35236565,Artist,3
18050387,Luca Giordano,35236711,Attributed to,3
18050387,Luca Giordano,35236677,After,2
18050411,Mrs. Abram S. Hewitt,35236691,Collector,1
18050419,Polaroid Corporation,35236667,Client,5
18050419,Polaroid Corporation,35236657,Manufacturer,5
18050421,Robbiati,35236627,Patentor,1
18050447,J. Carroll Beckwith,35236565,Artist,1
18050457,Robert Frederick Blum,35236565,Artist,12
18050491,Richard Riemerschmid,35236655,Designer,1
